Unnamed: 0,년도,클럽명,선수명,출전시간,득점,도움,슈팅,스로인,드리블 시도,키패스,전방 패스 시도,횡패스 시도,공격지역패스 시도,수비지역패스 시도,중앙지역패스 시도,롱패스,숏패스 시도,크로스 시도,경합 지상 시도,경합 공중 시도,태클 시도,클리어링,인터셉트,차단,블락,파울,피파울,Position,Role,Detailed Role
70,2022,김천,명준재,622,3,0,6,14,7,12,64,66,100,21,65,58,128,17,14,15,9,5,8,9,13,11,21,FW,WF,Wide Threat
71,2022,김천,김정훈,686,0,0,0,0,0,0,93,136,0,229,0,156,73,0,0,0,0,7,25,1,0,0,1,GK,GK,Goalkeeper
72,2022,김천,황인재,1517,0,0,0,0,0,0,288,232,0,519,1,408,112,0,0,0,1,16,83,0,2,1,4,GK,GK,Goalkeeper
73,2022,김천,송주훈,1150,0,0,3,17,3,1,307,346,24,275,427,456,270,4,18,71,18,68,56,29,33,7,11,DF,CB,Aggressor
74,2022,김천,박지수,2446,1,1,8,3,6,7,817,904,38,764,983,1205,580,7,62,136,57,145,110,63,69,16,27,DF,CB,Aggressor
75,2022,김천,김주성,987,0,0,1,3,1,1,255,316,17,237,403,383,274,0,31,58,12,61,44,19,39,12,4,DF,CB,Aggressor
76,2022,김천,이준석,638,0,1,10,1,14,2,18,80,71,21,56,48,100,19,16,23,2,7,9,8,8,12,8,FW,WF,Wide Threat
77,2022,김천,김준범,868,2,1,15,2,8,10,111,207,142,29,253,135,289,16,22,21,27,8,12,12,16,11,8,MF,CDM,Box to Box
78,2022,김천,하창래,1648,0,0,6,3,3,1,435,468,23,441,533,665,332,12,44,108,39,114,85,45,56,17,13,DF,CB,Aggressor
79,2022,김천,윤석주,599,0,0,2,4,0,2,89,363,40,103,387,328,202,1,12,19,21,16,28,17,18,6,3,MF,CAM,Creator
80,2022,김천,이유현,818,0,0,9,83,4,3,225,239,150,132,367,230,419,23,19,23,9,22,28,21,20,11,6,DF,FB,Progressor
81,2022,김천,김한길,1908,2,2,21,71,26,17,219,290,287,113,389,267,522,76,57,51,37,37,30,24,37,19,20,DF,FB,Safety
82,2022,김천,박상혁,751,1,0,16,2,8,4,69,99,105,21,142,86,182,15,13,30,18,1,14,18,18,13,13,MF,CDM,Builder
83,2022,김천,이영재,2950,3,7,76,15,25,52,594,806,445,249,1047,813,928,177,44,33,76,19,76,51,43,20,48,MF,CDM,Distributor
84,2022,김천,강윤성,2466,0,1,11,209,15,19,495,559,391,336,717,577,867,96,55,62,56,70,91,54,58,22,25,DF,FB,Safety
85,2022,김천,문지환,1129,0,0,3,1,2,3,228,403,64,192,508,437,327,1,21,22,32,32,52,24,18,25,13,MF,CAM,Creator
86,2022,김천,유인수,2069,3,0,24,159,10,16,423,307,314,191,615,402,718,36,45,67,46,80,55,43,62,20,31,DF,FB,Safety
87,2022,김천,고승범,1895,0,2,35,17,15,20,345,520,360,140,727,443,784,81,74,45,70,24,41,36,28,13,19,MF,CDM,Distributor
88,2022,김천,한찬희,563,0,0,7,0,0,1,82,176,46,56,214,179,137,3,10,8,21,12,13,9,13,7,3,MF,CAM,Creator
89,2022,김천,김지현,1987,4,2,36,1,16,17,72,227,229,37,231,146,351,14,61,129,29,17,10,15,14,22,22,FW,CF,Roamer
90,2022,김천,임승겸,844,0,0,2,2,0,1,166,391,10,251,319,400,180,1,19,41,12,33,36,17,19,6,6,DF,CB,Aggressor
91,2022,김천,권창훈,1966,0,2,49,11,23,17,272,344,314,92,431,300,537,33,42,49,49,10,23,31,30,25,22,FW,CF,Target
92,2022,김천,김륜성,238,0,0,0,20,3,1,40,76,21,50,69,70,70,8,4,4,5,8,13,3,9,3,5,DF,FB,Safety
93,2022,김천,구성윤,1427,0,0,0,0,0,0,330,133,0,459,4,345,118,0,0,0,0,17,67,0,3,0,1,GK,GK,Goalkeeper
94,2022,김천,김경민97,735,6,2,19,0,25,5,29,64,73,14,72,44,115,15,30,23,12,5,5,5,11,11,4,FW,WF,Wide Threat
95,2022,김천,정승현,1908,1,0,4,1,4,4,582,566,15,437,756,826,382,6,30,104,36,130,85,37,66,19,5,DF,CB,Aggressor
96,2022,김천,정동윤,651,0,0,3,58,7,3,195,116,113,55,228,149,247,28,19,13,13,21,16,12,10,10,7,DF,FB,Progressor
97,2022,김포,이규로,1358,1,0,7,111,2,6,226,308,89,181,351,347,274,49,25,58,37,50,54,28,53,10,17,DF,FB,Safety
98,2022,김포,김종석,2818,2,3,43,2,12,37,368,631,236,147,885,618,650,105,42,152,60,60,88,34,50,35,53,MF,CAM,Box crasher
99,2022,김포,나성은,961,2,1,16,1,10,6,36,92,81,32,102,77,138,22,31,38,26,13,14,13,8,17,12,FW,WF,Wide Threat
100,2022,김포,박준희,1001,0,0,2,7,0,2,208,102,21,105,230,213,143,6,35,58,15,70,40,22,33,10,5,DF,CB,SCB
101,2022,김포,정의찬,1151,0,2,18,5,15,8,72,76,107,24,84,55,160,20,33,92,22,2,8,12,16,15,23,FW,CF,Roamer
102,2022,김포,이중호,353,0,0,2,32,2,2,43,53,27,28,65,45,75,6,12,11,7,19,8,9,6,2,6,DF,FB,Safety
103,2022,김포,박재우,694,1,0,1,107,10,4,137,77,92,53,129,100,174,26,20,18,15,23,21,14,20,14,13,DF,FB,Safety
104,2022,김포,이상욱,2795,0,0,0,0,0,0,751,127,0,872,6,829,49,1,0,0,0,31,141,0,7,1,6,GK,GK,Swiper goalkeeper
105,2022,김포,손석용,2938,8,7,83,4,73,26,142,203,209,34,228,122,349,76,128,238,61,18,27,35,35,57,55,FW,WF,Wide Threat
106,2022,김포,박경록,2957,0,1,9,4,4,6,484,425,54,283,684,612,409,22,75,217,54,228,145,60,108,26,11,DF,CB,Spreader
107,2022,김포,윤민호,2694,8,2,45,1,29,18,113,244,221,23,332,193,383,20,149,212,28,8,14,15,28,50,52,FW,CF,Finisher
108,2022,김포,김이석,2130,2,0,13,34,10,7,288,365,117,112,549,381,397,37,57,108,82,58,67,72,77,43,34,MF,CAM,Box crasher
109,2022,김포,권민재,680,1,2,11,1,2,6,47,64,63,21,104,45,143,22,16,25,19,3,7,10,14,15,13,FW,WF,Wide Threat
110,2022,김포,김종민,1758,2,0,10,2,1,2,256,272,12,201,352,347,218,2,52,122,31,121,77,33,45,26,3,DF,CB,Spreader
111,2022,김포,박대한,2517,1,0,13,269,27,15,447,356,234,173,596,416,587,87,61,71,39,96,76,49,56,42,33,DF,FB,Safety
112,2022,김포,최재훈,2393,1,0,16,6,13,4,306,425,146,152,629,429,498,5,71,101,91,60,95,78,63,30,44,MF,CAM,Box crasher
113,2022,김포,양준아,1065,2,1,8,3,2,7,268,133,57,103,304,210,254,15,32,41,23,43,50,10,27,14,9,DF,CB,SCB
114,2022,김포,한정우,927,1,2,7,70,20,8,125,89,101,67,152,97,223,72,21,26,26,23,20,21,30,8,20,DF,FB,Safety
115,2022,김포,김수범,2139,0,3,9,218,17,25,400,483,305,181,603,461,628,87,48,66,53,65,86,45,44,32,29,DF,FB,Safety
116,2022,김포,조향기,1265,3,1,34,0,2,17,89,187,131,16,223,149,221,5,62,296,10,20,11,3,14,15,30,FW,CF,Roamer
117,2022,김포,윤상혁,796,0,0,1,66,2,2,135,125,60,67,191,125,193,13,29,40,24,35,32,26,17,8,9,DF,FB,Safety
118,2022,김포,황도연,485,0,0,1,0,0,0,48,94,0,82,71,123,30,0,13,11,6,23,15,9,10,3,2,DF,CB,SCB
119,2022,김포,유리치치,214,0,0,5,0,7,6,33,19,29,2,29,19,41,2,12,64,7,4,2,3,5,7,5,FW,CF,Target
120,2022,김포,최민서,314,0,0,5,1,8,1,14,13,14,3,25,9,33,3,8,25,3,1,1,4,5,3,4,FW,CF,Finisher
121,2022,김포,이성재,383,0,0,12,1,2,0,32,104,28,13,121,82,80,15,6,19,14,7,11,11,15,10,5,MF,CAM,Box crasher
122,2022,김포,마루오카,335,0,0,3,1,4,1,35,33,41,8,51,34,66,10,12,13,12,5,7,4,7,1,4,MF,CDM,Builder
123,2022,김포,구본상,484,1,0,3,0,0,3,91,90,59,24,140,94,129,4,8,29,12,12,9,15,16,11,14,MF,CDM,Box to Box
124,2022,김포,이강연,1841,1,0,10,3,3,2,279,334,31,204,452,412,275,4,39,56,48,120,89,36,44,17,13,DF,CB,SCB
125,2022,김포,최봉진,1060,0,0,0,0,0,0,291,33,0,321,3,308,16,0,0,0,1,20,61,2,3,0,1,GK,GK,Swiper goalkeeper
126,2022,김포,김태한,2687,1,1,6,2,1,8,491,423,45,392,579,667,349,8,97,307,34,295,176,69,78,27,19,DF,CB,Spreader
127,2022,대구,에드가,356,1,0,13,0,3,6,30,34,37,2,59,22,76,1,16,68,2,9,1,5,1,14,7,FW,CF,Roamer
128,2022,대구,오승훈,3465,0,1,0,1,0,2,745,181,1,913,12,842,84,0,0,1,1,28,174,1,5,1,4,GK,GK,Goalkeeper
129,2022,대구,김희승,633,0,0,6,3,1,3,70,105,52,24,152,103,125,5,18,19,35,14,23,23,14,20,6,MF,CAM,Box crasher
130,2022,대구,홍철,2109,0,1,10,208,13,11,377,259,190,232,416,394,444,71,50,33,39,75,79,44,51,21,16,DF,FB,Safety
131,2022,대구,안용우,488,2,2,4,32,7,7,94,48,66,27,100,89,104,50,8,12,7,11,12,7,6,3,1,FW,WF,Unlocker
132,2022,대구,박병현,753,0,0,1,1,2,0,133,58,2,77,137,135,81,0,20,41,17,41,22,22,31,14,3,DF,CB,SCB
133,2022,대구,김진혁,2423,2,1,21,0,7,4,382,300,66,256,457,451,328,5,75,172,45,147,88,50,73,29,22,DF,CB,Spreader
